,Price,Trades
0,151.88174887392785,50
1,162.56195242470673,91
2,172.95909210217687,91
3,222.71138661349568,52
4,272.26612652329106,52
5,311.8693436185428,41
6,312.2388988623182,59
7,311.18354345725334,100
8,315.5232430140168,100
9,297.43806995947494,81
10,279.5504467147868,59
11,271.1727540800162,55
12,264.7045200009105,42
13,263.0728957237696,99
14,258.8981153210169,98
15,257.8275359614162,98
16,253.3059736119137,96
17,250.56438109543194,34
18,253.4772610979178,99
19,260.0443932789098,97
20,271.8477435783821,90
21,275.1099795325395,98
22,270.31763112201384,92
23,268.8880000001646,92
24,274.3501078304475,80
25,288.5910686827943,73
26,281.50366475973374,78
27,291.16117695729474,69
28,294.22481588712697,45
29,291.26170257891647,100
30,281.52996871894925,100
31,292.8448000174853,83
32,282.5345038670318,96
33,293.27917187861965,88
34,274.67291366078035,81
35,272.23495637665013,69
36,268.42301565818326,55
37,261.62859063105475,35
38,257.52173676100955,17
39,253.63032511427497,3
40,253.59868429371323,85
41,251.03162896053135,85
42,257.9092404791551,68
43,251.06508483261507,68
44,250.9104237742142,8
45,250.83797484861847,10
46,251.41212823591403,13
47,250.19696174235486,68
48,246.69676258361744,71
49,246.26730295194466,92
50,257.0134121722415,95
51,268.17887149520794,89
52,295.6590663324742,63
53,306.96526193046833,55
54,310.22979957733503,48
55,310.48884982378337,21
56,299.08934192151975,55
57,310.76381605954595,52
58,306.2557067524986,63
59,303.23126445908315,99
60,297.49111275475855,99
61,282.0738252911244,89
62,272.12007875184116,68
63,256.60854967154233,40
64,245.6405139453214,21
65,243.80029384541012,39
66,242.7651001353704,36
67,240.1124366437824,15
68,239.77914605948465,15
69,239.4515297075703,15
70,248.10578006282492,81
71,238.37210227188766,80
72,245.3001875128844,79
73,242.765739015817,98
74,238.37741221116366,96
75,233.1773672625711,88
76,241.5099529771599,90
77,238.4619097006249,89
78,241.82787783362105,68
79,248.9805698706083,93
80,245.12562978152596,100
81,241.5182852704407,64
82,245.0280504772426,99
83,258.6786881888921,99
84,254.9988628723566,69
85,248.87834978530438,62
86,251.6077884051889,80
87,254.61176544408215,81
88,249.09856505347227,65
89,254.07017832596625,91
90,252.04385924873156,97
91,251.4089718711707,86
92,255.97691615473627,91
93,264.05432948996025,85
94,285.07596533288006,59
95,304.5097765246253,35
96,313.93384614803387,16
97,314.364511894041,38
98,317.59628631463806,37
99,319.3880177783149,31
100,314.22790489964933,84
101,326.2060022922223,80
102,321.12232950995406,92
103,308.435741446169,84
104,302.8117019481621,93
105,312.4688672810888,94
106,294.7617644740383,79
107,269.47068704561394,62
108,276.5523218279723,92
109,281.04354325857133,98
110,286.12959911511007,77
111,306.5214995686727,64
112,304.9366168254496,99
113,289.3290771263432,88
114,265.76551609247633,63
115,243.60096317513882,49
116,234.35018237995288,18
117,233.72015610262628,7
118,232.846615383319,4
119,232.25588248706634,7
120,246.58421070193836,59
121,234.34997878256613,56
122,232.66086491524243,2
123,232.5936172990998,2
124,231.67950159411984,21
125,236.39805281972934,94
126,245.06342591477923,99
127,229.66488424884764,87
128,256.56564641439013,72
129,259.24071832160644,90
130,267.6859688958394,89
131,279.4697053174655,89
132,289.19283285260775,87
133,306.88950061521206,66
134,317.0380059140403,37
135,326.1652155678239,27
136,329.77258218012224,18
137,330.98218901497887,4
138,322.4592758945233,84
139,332.8256663005411,96
140,312.7214864994429,80
141,281.27292483511303,72
142,251.23433575859622,60
143,227.88406156806306,33
144,211.4686130678599,21
145,213.3767720273156,7
146,212.822852219197,22
147,210.09554025976914,26
148,211.44763959219335,23
149,211.34321727579248,65
150,202.750646236269,69
151,210.35542232751195,73
152,205.10530354729642,74
153,220.98956689513713,83
154,235.22267645786144,89
155,264.7115455677309,76
156,258.77336061048044,94
157,266.40521028080684,97
158,297.30434659013565,72
159,327.96463971964795,52
160,346.197734828046,20
161,350.98724792559125,8
162,351.380538217992,16
163,345.36156524516724,95
164,322.8004869396573,79
165,282.2118613656084,60
166,240.2066489277326,58
167,201.09655502799788,49
168,184.945700967042,30
169,182.6156310100525,10
170,187.46972671270603,16
171,180.5940775260287,44
172,180.54553076909767,69
173,193.91657893843762,79
174,214.34188451656757,81
175,249.3871593125543,66
176,297.6877015926258,52
177,347.03658663778805,51
178,375.1598232356676,29
179,379.3850181416749,4
180,379.8047297084445,0
181,379.9943709988111,0
182,380.8688581572101,0
183,381.4131052778564,2
184,382.3154167866978,7
185,382.4955631386216,30
186,363.8224491421008,83
187,314.72838533390353,52
188,278.28850555036814,66
189,295.350962339006,84
190,294.292584988795,100
191,246.65040032468937,53
192,201.16371930378784,49
193,184.29854645991514,81
194,210.92269879160028,76
195,242.48443722149898,69
196,290.84321244378793,52
197,336.08424315434485,51
198,375.63068156731657,41
199,394.94449559525054,19
200,396.3033422345663,1
201,359.05346973481636,63
202,315.2778424014612,57
203,277.3892873339523,63
204,298.46306365137156,81
205,348.2225113611667,51
206,310.3296610467964,63
207,348.61628811143737,63
208,396.67186900238494,50
209,352.28492175388567,56
210,396.61272335990725,56
211,351.6195737014104,56
212,309.5558810828623,58
213,275.12161574091454,67
214,238.0219623459755,63
215,194.14118517961424,57
216,151.85753026214346,52
217,134.12622898642778,18
218,129.8140370891186,6
219,129.73862194961933,0
220,129.3259386954218,0
221,128.32789718666805,3
222,128.30358815983774,5
223,127.589946473971,40
224,148.59606613982746,77
225,140.22437107698906,80
226,126.33688849920887,19
227,125.95053416267609,25
228,124.71432345405293,34
229,131.35514686735695,33
230,140.8958488821559,72
231,134.4574954196989,74
232,131.39886403604095,45
