Step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
11,1000.0,996.4547832798746,1000.0,1000.0,1000.0,998.2848900901057,987.8318102491708,1000.0,1000.0,992.643354446073,1000.0,987.8188102491707,1000.0,1000.0,1000.0,1000.0,996.4657832798746,1000.0,1000.0,994.9239231323683,1000.0,996.4777832798748,1000.0,1000.0,1000.0,1000.0,994.1732145935792,1000.0,1000.0,1000.0,1000.0,987.8458102491709,1000.0,1000.0,1000.0,1000.0,985.0783469791243,1000.0,1000.0,1000.0,1000.0,994.1822145935793,1000.0,1000.0,1000.0,1000.0,988.7245566412191,1000.0,1000.0,1000.0,1000.0,984.3055935290453,1000.0,1000.0,1000.0,1000.0,996.4777832798748,1000.0,1000.0,1000.0,1000.0,988.9621349067957,1000.0,1000.0,1000.0,1000.0,996.4667832798747,1000.0,1000.0,1000.0,1000.0,987.8098102491707,1000.0,1000.0,1000.0,1000.0,996.4607832798747,1000.0,1000.0,998.4719159785482,1000.0,987.8418102491707,1000.0,1000.0,1000.1039929419695,1000.0,991.9758004783802,1000.0,1000.0,1000.0,1000.0,996.4627832798747,1000.0,1000.0,1000.0,1000.0,991.9858004783803,1000.0,1000.0,1000.0,1000.0
12,1000.0,991.9560336455029,1000.0,1000.0,1000.0370000000001,995.9870152729196,971.943686528869,1000.0,1000.0,974.4633559085852,1000.0,972.0346865288695,1000.0,1000.0,1000.0620000000004,1000.0,991.9390336455028,1000.0,1000.0,979.0637994120666,1000.0,992.0370336455032,1000.0,1000.0,1000.0230000000001,1000.0,987.4685901420219,1000.0,1000.0,1000.0,1000.0,972.1206865288699,1000.0,1000.0,1000.0,1000.0,969.3292232588233,1000.0,1000.0,1000.1380000000006,1000.0,987.4215901420216,1000.0,1000.0,1000.1050000000005,1000.0,975.1203077381034,1000.0,1000.0,1000.0,1000.0,963.8657201743716,1000.0,1000.0,1000.0,1000.0,992.0130336455031,1000.0,1000.0,1000.017,1000.0,975.4058860036802,1000.0,1000.0,1000.001,1000.0,992.0160336455031,1000.0,1000.0,1000.0250000000001,1000.0,971.927686528869,1000.0,1000.0,1000.0160000000001,1000.0,991.9660336455031,1000.0,1000.0,989.6144167098053,1000.0,971.9676865288691,1000.0,1000.0,997.8391181247837,1000.0,980.7594263924509,1000.0,1000.0,1000.0,1000.0,991.980033645503,1000.0,1000.0,1000.0,1000.0,980.6234263924504,1000.0,1000.0,1000.0,1000.0
13,1000.0,992.5915598249526,1000.0,1000.0,1000.1958815448626,995.9940152729197,973.373620432631,1000.0,1000.0,976.0521713572095,1000.0,973.4646204326314,1000.0,1000.0,1000.2308815448628,1000.0,992.5745598249525,1000.0,1000.0,980.5017333158287,1000.0,992.672559824953,1000.0,1000.0,1000.1818815448626,1000.0,988.4218794111964,1000.0,1000.0,1000.0,1000.0,973.7095019774943,1000.0,1000.0,1000.0,1000.0,970.9180387074476,1000.0,1000.0,1000.6376446345881,1000.0,988.2159978663339,1000.0,1000.0,1000.5926446345878,1000.0,976.3913600970029,1000.0,1000.0,1000.0,1000.0,965.454535622996,1000.0,1000.0,1000.0,1000.0,992.6485598249529,1000.0,1000.0,1000.3437630897249,1000.0,976.6769383625797,1000.0,1000.0,1000.1598815448624,1000.0,992.6515598249529,1000.0,1000.0,1000.3437630897249,1000.0,973.3576204326309,1000.0,1000.0,1000.1748815448625,1000.0,992.6015598249528,1000.0,1000.0,990.9124690687049,1000.0,973.3976204326311,1000.0,1000.0,998.4836443042334,1000.0,982.0304787513505,1000.0,1000.0,1000.0,1000.0,992.6155598249527,1000.0,1000.0,1000.0,1000.0,981.576715661625,1000.0,1000.0,1000.0,1000.0
14,1000.0,994.5015336497163,1000.0,1000.0,1000.6733750010535,996.4705087291106,977.6720615383493,1000.0,1000.0,980.8271059191188,1000.0,977.7610615383497,1000.0,1000.0,1001.1858684572446,1000.0,994.4845336497162,1000.0,1000.0,985.276667877738,1000.0,994.5825336497168,1000.0,1000.0,1000.6593750010535,1000.0,991.286840148342,1000.0,1000.0,1000.0,1000.0,978.4844365394035,1000.0,1000.0,1000.0,1000.0,975.6909732693568,1000.0,1000.0,1003.0251119155428,1000.0,990.6034651472885,1000.0,1000.0,1002.9841119155425,1000.0,980.2083077465303,1000.0,1000.0,1000.0,1000.0,970.2254701849051,1000.0,1000.0,1000.0,1000.0,994.5585336497167,1000.0,1000.0,1001.7782434582978,1000.0,980.4968860121071,1000.0,1000.0,1000.6373750010533,1000.0,994.5615336497166,1000.0,1000.0,1001.7762434582977,1000.0,977.6570615383494,1000.0,1000.0,1000.6523750010534,1000.005,994.5115336497165,1000.0,1000.0,995.6874036306142,1000.0,977.6960615383495,1000.0,1000.0,1001.83109849757,1000.001,985.850426400878,1000.0,1000.0,1000.0,1000.0,994.5255336497164,1000.0,1000.0,1000.0,1000.0,984.4416763987706,1000.0,1000.0,1000.0,1000.0
15,1000.0,992.6440374806787,1000.0,1000.0,1000.209000958794,995.5387606445918,973.9630692002739,1000.0,1000.0,976.1833654965246,1000.0,974.0470692002743,1000.0,1000.0,1000.2661203727258,1000.0,992.6270374806786,1000.0,1000.0,980.6329274551438,1000.0,992.725037480679,1000.0,1000.0,1000.195000958794,1000.0,988.5005958947854,1000.0,1000.0,1000.0,1000.0,973.8406961168093,1000.0,1000.0,1000.0,1000.0,971.5196068890222,1000.0,1000.0,1000.2478676619863,1000.0,988.2815949359914,1000.0,1000.0,1000.2028676619859,1000.0,976.9656894507143,1000.0,1000.0,1000.0,1000.0,966.0501038045704,1000.0,1000.0,1000.0,1000.0,992.7010374806789,1000.0,1000.0,999.9277472892601,999.5276259577405,976.7818936740317,1000.0,1000.0,1000.1730009587939,1000.0,992.7040374806788,1000.0,1000.0,1000.3921213315195,1000.0,973.947069200274,1000.0,1000.0,1000.188000958794,999.5326259577405,992.6540374806789,1000.0,1000.0,991.04366320802,1000.0,973.9910692002741,1000.0,1000.0,997.6557321172352,999.5296259577406,982.1354340628025,1000.0,1000.0,1000.0,1000.0,992.6680374806788,1000.0,1000.0,1000.0,1000.0,981.655432145214,1000.0,1000.0,1000.0,1000.0
16,1000.0,986.5086952919875,1000.0,1000.0,998.6816654116212,993.9684250974188,960.1000492757187,1000.0,1000.0,960.7600100247964,1000.0,960.1850492757192,1000.0,1000.0,995.6801137312076,1000.0,986.4886952919874,1000.0,1000.0,965.2095719834156,1000.0,986.5686952919879,1000.0,1000.0,998.6556654116212,1000.0,979.2695826117488,1000.0,1000.0,1000.0,1000.0,958.4173406450811,1000.0,1000.0,1000.0,1000.0,956.096251417294,1000.0,1000.0,989.4785188317767,1000.0,980.5839172001274,1000.0,1000.0,987.9091832846036,1000.0,964.6430050733319,1000.0,1000.0,1000.0,1000.0,950.6267483328422,1000.0,1000.0,1000.0,1000.0,986.5596952919879,1000.0,1000.0,992.2810695533964,999.5276259577405,964.5022092966494,1000.0,1000.0,998.6546654116212,1000.0,986.5516952919877,1000.0,1000.0,994.2257791428283,1000.0,960.0700492757186,1000.0,1000.0,998.6706654116213,999.5326259577405,986.5196952919878,1000.0,1000.0,975.6203077362918,1000.0,960.1360492757188,1000.0,1000.0,982.232376645507,999.5296259577406,969.80974968542,1000.0,1000.0,1000.0290000000001,1000.0,986.5036952919875,1000.0,1000.0,1000.0,1000.0,972.4284188621773,1000.0,1000.0,1000.0,1000.0
17,1000.004,989.9464271401105,1000.0,1000.0,1000.0567581508705,993.9714250974189,966.9735129719647,1000.0,1000.0,967.6354737210424,1000.0,967.0595129719652,1000.0,1000.0,999.1198455793307,1000.0,989.9264271401104,1000.0,1000.0,972.0850356796616,999.999,990.0064271401109,1000.0,1000.0,1000.0307581508704,999.998,984.7699535687454,1000.0,1000.0,1000.0,1000.0020000000001,965.2958043413273,1000.0,1000.0,1000.0,1000.0,962.9717151135401,1000.0,1000.0,996.3539825280227,1000.0,984.709195417875,1000.0,1000.0,994.7846469808496,1000.0,970.8279223999533,1000.0,1000.0,1000.0,1000.0,957.5022120290884,1000.0,1000.0,1000.0,1000.0,989.9974271401109,1000.0,1000.0,997.0938941407685,999.5286259577406,971.3766729928955,1000.0,1000.0,1000.0297581508704,1000.0020000000001,989.9894271401107,1000.0,1000.0,998.3520573605758,1000.0,966.9475129719647,1000.0,1000.0,1000.0457581508705,999.5336259577406,989.9574271401108,1000.0,1000.0,982.4957714325378,1000.0,967.0145129719649,1000.0,1000.0,989.107840341753,999.5276259577406,976.684213381666,1000.0,1000.0,1000.7165463696248,1000.0,989.9414271401105,1000.0,1000.0,1000.0,1000.0,977.2422434495495,1000.0,1000.0,1000.0,1000.0
18,999.7094650465226,988.4737523727234,1000.0,1000.0,999.4676882439156,993.6768901439415,964.3226983906682,1000.0,1000.0,964.6901241862683,1000.0,964.4096983906685,1000.0,1000.0,997.3546358584662,1000.0,988.4537523727233,1000.0,1000.0,969.1396861448875,999.7044650465226,988.5337523727238,1000.0,1000.0,999.4416882439156,999.7034650465226,982.4136739409262,1000.0,1000.0,1000.0,999.7074650465227,962.6449897600306,1000.0,1000.0,1000.0,1000.0,960.3239005322433,1000.0,1000.0,993.4086329932486,1000.0,982.9419856970105,1000.0,1000.0,991.8392974460755,1000.0,968.475642772134,1000.0,1000.0,1000.0,1000.0,954.8563974477916,1000.0,1000.0,1000.0,1000.0,988.5247523727238,1000.0,1000.0,994.7386145129493,999.2340910042632,968.7258584115989,1000.0,1000.0,999.4406882439156,999.7074650465227,988.5167523727237,1000.0,1000.0,996.294312686234,1000.0,964.2966983906681,1000.0,1000.0,999.4566882439157,999.2360910042631,988.4847523727237,1000.0,1000.0,979.5504218977637,1000.0,964.3636983906683,1000.0,1000.0,986.1624908069789,999.2330910042632,974.0333988003695,1000.0,1000.0,1000.4220114161474,1000.0,988.4687523727234,1000.0,1000.0,1000.0,1000.0,975.475033728685,1000.0,1000.0,1000.0,1000.0
19,999.2776681460912,986.3147678705664,1000.0,1000.0,998.6120944430528,993.6768901439415,960.4395262867854,1000.0,1000.0,960.3721551819542,1000.0,960.0917293863544,1000.0,1000.0,994.3390575554463,1000.0,986.2947678705663,1000.0,1000.0,964.8217171405734,999.2726681460912,986.3747678705668,1000.0,1000.0,998.5780944430528,999.2716681460912,978.9592987374749,1000.0,1000.0,1000.0,999.2756681460912,958.7588176561478,1000.0,1000.0,1000.0,1000.0,956.0059315279292,1000.0,1000.0,989.0906639889345,1000.0,980.3512042944219,1000.0,1000.0,987.5213284417614,1000.0,964.5944706682513,1000.0,1000.0,1000.0,1000.0,950.5384284434774,1000.0,1000.0,1000.0,1000.0,986.3657678705667,1000.0,1000.0,990.8544424090666,998.8022941038317,964.839686307716,1000.0,1000.0,998.5780944430527,999.2756681460912,986.3577678705666,1000.0,1000.0,992.8569374827828,1000.0,960.4165262867853,1000.0,1000.0,998.5930944430529,999.2360910042631,986.3257678705667,1000.0,1000.0,975.2324528934496,1000.0,960.4815262867855,1000.0,1000.0,981.8445218026648,998.7942941038317,970.1472266964865,1000.0,1000.0,999.9902145157159,1000.0,986.3097678705664,1000.0,1000.0,1000.0,1000.0,972.8842523260964,1000.0,1000.0,1000.0,1000.0
20,998.5855231198899,982.8640427395601,1000.0,1000.0,996.5446593644491,993.6768901439415,953.5380760247729,1000.0,1000.0,953.4707049199418,1000.0,953.1902791243419,1000.0,1000.0,988.8208973458364,1000.0,982.8440427395601,1000.0,1000.0,957.9202668785608,998.5815231198899,982.9240427395605,1000.0,1000.0,997.2008043906503,998.5795231198899,973.438138527865,1000.0,1000.0,1000.0,998.5845231198899,952.5495124203367,1000.0,1000.0,1000.0,1000.0,949.1044812659168,1000.0,1000.0,982.189213726922,1000.0,976.2103341372145,1000.0,1000.0,980.619878179749,1000.0,957.6930204062389,1000.0,1000.0,1000.0,1000.0,943.636978181465,1000.0,1000.0,1000.0,1000.0,982.9150427395605,1000.0,1000.0,983.9529921470541,998.1101490776305,958.6313810719049,1000.0,1000.0,996.5126593644491,998.58352311989,982.9070427395604,1000.0,1000.0,985.9554872207704,1000.0,953.5150760247728,1000.0,1000.0,997.2158043906504,999.2360910042631,982.8750427395605,1000.0,1000.0,968.3310026314372,1000.0,953.5800760247731,1000.0,1000.0,974.9430715406523,998.7942941038317,963.9399214606755,1000.0,1000.0,999.3020694895147,1000.0,982.8590427395602,1000.0,1000.0,1000.0,1000.0,968.7463821688891,1000.0,1000.0,1000.0,1000.0
